date,value_day
2015-01-01,47
2015-01-02,46
2015-01-03,48
2015-01-04,65
2015-01-05,69
2015-01-06,66
2015-01-07,54
2015-01-08,63
2015-01-09,57
2015-01-10,57
2015-01-11,52
2015-01-12,52
2015-01-13,58
2015-01-14,100
2015-01-15,92
2015-01-16,74
2015-01-17,59
2015-01-18,55
2015-01-19,53
2015-01-20,50
2015-01-21,56
2015-01-22,57
2015-01-23,55
2015-01-24,52
2015-01-25,49
2015-01-26,91
2015-01-27,68
2015-01-28,64
2015-01-29,55
2015-01-30,53
2015-01-31,47
2015-02-01,37
2015-02-02,28
2015-02-03,37
2015-02-04,37
2015-02-05,38
2015-02-06,42
2015-02-07,61
2015-02-08,40
2015-02-09,43
2015-02-10,41
2015-02-11,37
2015-02-12,40
2015-02-13,40
2015-02-14,39
2015-02-15,31
2015-02-16,36
2015-02-17,42
2015-02-18,38
2015-02-19,52
2015-02-20,100
2015-02-21,48
2015-02-22,46
2015-02-23,39
2015-02-24,40
2015-02-25,38
2015-02-26,31
2015-02-27,42
2015-02-28,31
2015-03-01,74
2015-03-02,86
2015-03-03,85
2015-03-04,83
2015-03-05,86
2015-03-06,94
2015-03-07,98
2015-03-08,81
2015-03-09,75
2015-03-10,97
2015-03-11,89
2015-03-12,78
2015-03-13,86
2015-03-14,76
2015-03-15,78
2015-03-16,93
2015-03-17,84
2015-03-18,85
2015-03-19,92
2015-03-20,88
2015-03-21,62
2015-03-22,93
2015-03-23,75
2015-03-24,86
2015-03-25,92
2015-03-26,76
2015-03-27,79
2015-03-28,62
2015-03-29,58
2015-03-30,95
2015-03-31,100
2015-04-01,100
2015-04-02,89
2015-04-03,76
2015-04-04,82
2015-04-05,79
2015-04-06,99
2015-04-07,91
2015-04-08,95
2015-04-09,88
2015-04-10,88
2015-04-11,69
2015-04-12,77
2015-04-13,88
2015-04-14,92
2015-04-15,79
2015-04-16,79
2015-04-17,75
2015-04-18,57
2015-04-19,76
2015-04-20,72
2015-04-21,79
2015-04-22,88
2015-04-23,74
2015-04-24,70
2015-04-25,66
2015-04-26,80
2015-04-27,78
2015-04-28,70
2015-04-29,77
2015-04-30,97
2015-05-01,67
2015-05-02,66
2015-05-03,62
2015-05-04,46
2015-05-05,63
2015-05-06,59
2015-05-07,58
2015-05-08,63
2015-05-09,55
2015-05-10,50
2015-05-11,63
2015-05-12,63
2015-05-13,69
2015-05-14,100
2015-05-15,66
2015-05-16,62
2015-05-17,57
2015-05-18,54
2015-05-19,64
2015-05-20,78
2015-05-21,58
2015-05-22,58
2015-05-23,64
2015-05-24,54
2015-05-25,67
2015-05-26,57
2015-05-27,63
2015-05-28,59
2015-05-29,68
2015-05-30,87
2015-05-31,76
2015-06-01,27
2015-06-02,25
2015-06-03,30
2015-06-04,26
2015-06-05,26
2015-06-06,21
2015-06-07,26
2015-06-08,22
2015-06-09,23
2015-06-10,22
2015-06-11,25
2015-06-12,27
2015-06-13,18
2015-06-14,20
2015-06-15,23
2015-06-16,26
2015-06-17,32
2015-06-18,100
2015-06-19,37
2015-06-20,37
2015-06-21,26
2015-06-22,27
2015-06-23,27
2015-06-24,30
2015-06-25,38
2015-06-26,23
2015-06-27,32
2015-06-28,33
2015-06-29,35
2015-06-30,41
2015-07-01,75
2015-07-02,70
