date,value_week
2015-01-04,66
2015-01-11,69
2015-01-18,55
2015-01-25,63
2015-02-01,51
2015-02-08,58
2015-02-15,61
2015-02-22,48
2015-03-01,56
2015-03-08,55
2015-03-15,56
2015-03-22,46
2015-03-29,47
2015-04-05,45
2015-04-12,45
2015-04-19,45
2015-04-26,42
2015-05-03,36
2015-05-10,42
2015-05-17,46
2015-05-24,45
2015-05-31,46
2015-06-07,38
2015-06-14,53
2015-06-21,40
2015-06-28,56
2015-07-05,59
2015-07-12,54
2015-07-19,47
2015-07-26,53
2015-08-02,51
2015-08-09,47
2015-08-16,52
2015-08-23,56
2015-08-30,45
2015-09-06,47
2015-09-13,47
2015-09-20,44
2015-09-27,42
2015-10-04,46
2015-10-11,46
2015-10-18,55
2015-10-25,61
2015-11-01,100
2015-11-08,71
2015-11-15,60
2015-11-22,56
2015-11-29,62
2015-12-06,91
2015-12-13,70
2015-12-20,63
2015-12-27,59
2016-01-03,55
2016-01-10,59
2016-01-17,61
2016-01-24,52
2016-01-31,43
2016-02-07,51
2016-02-14,58
2016-02-21,55
2016-02-28,53
2016-03-06,50
2016-03-13,49
2016-03-20,46
2016-03-27,45
2016-04-03,50
2016-04-10,47
2016-04-17,48
2016-04-24,55
2016-05-01,86
2016-05-08,58
2016-05-15,51
2016-05-22,52
2016-05-29,69
2016-06-05,63
2016-06-12,92
2016-06-19,90
2016-06-26,74
2016-07-03,68
2016-07-10,63
2016-07-17,51
2016-07-24,55
2016-07-31,76
2016-08-07,59
2016-08-14,48
2016-08-21,50
2016-08-28,51
2016-09-04,58
2016-09-11,56
2016-09-18,55
2016-09-25,51
2016-10-02,53
2016-10-09,56
2016-10-16,58
2016-10-23,66
2016-10-30,71
2016-11-06,69
2016-11-13,70
2016-11-20,70
2016-11-27,69
2016-12-04,68
2016-12-11,68
2016-12-18,89
2016-12-25,100
2017-01-01,7
2017-01-08,6
2017-01-15,4
2017-01-22,4
2017-01-29,4
2017-02-05,4
2017-02-12,4
2017-02-19,5
2017-02-26,6
2017-03-05,7
2017-03-12,6
2017-03-19,5
2017-03-26,5
2017-04-02,5
2017-04-09,5
2017-04-16,5
2017-04-23,5
2017-04-30,7
2017-05-07,9
2017-05-14,11
2017-05-21,19
2017-05-28,12
2017-06-04,12
2017-06-11,13
2017-06-18,11
2017-06-25,11
2017-07-02,9
2017-07-09,10
2017-07-16,12
2017-07-23,10
2017-07-30,16
2017-08-06,14
2017-08-13,20
2017-08-20,16
2017-08-27,17
2017-09-03,19
2017-09-10,21
2017-09-17,15
2017-09-24,13
2017-10-01,12
2017-10-08,19
2017-10-15,20
2017-10-22,20
2017-10-29,28
2017-11-05,29
2017-11-12,32
2017-11-19,27
2017-11-26,63
2017-12-03,85
2017-12-10,88
2017-12-17,100
2017-12-24,63
2017-12-31,47
2018-01-07,81
2018-01-14,100
2018-01-21,69
2018-01-28,71
2018-02-04,85
2018-02-11,48
2018-02-18,43
2018-02-25,34
2018-03-04,35
2018-03-11,34
2018-03-18,31
2018-03-25,32
2018-04-01,32
2018-04-08,27
2018-04-15,25
2018-04-22,25
2018-04-29,22
2018-05-06,22
2018-05-13,20
2018-05-20,20
2018-05-27,18
2018-06-03,17
2018-06-10,22
2018-06-17,19
2018-06-24,19
2018-07-01,17
2018-07-08,16
2018-07-15,20
2018-07-22,22
2018-07-29,19
2018-08-05,20
2018-08-12,19
2018-08-19,17
2018-08-26,18
2018-09-02,20
2018-09-09,17
2018-09-16,16
2018-09-23,15
2018-09-30,14
2018-10-07,14
2018-10-14,15
2018-10-21,13
2018-10-28,14
2018-11-04,14
2018-11-11,18
2018-11-18,25
2018-11-25,25
2018-12-02,20
2018-12-09,20
2018-12-16,20
2018-12-23,18
2018-12-30,16
2019-01-06,33
2019-01-13,29
2019-01-20,26
2019-01-27,25
2019-02-03,30
2019-02-10,26
2019-02-17,31
2019-02-24,28
2019-03-03,28
2019-03-10,25
2019-03-17,25
2019-03-24,25
2019-03-31,45
2019-04-07,37
2019-04-14,30
2019-04-21,32
2019-04-28,31
2019-05-05,42
2019-05-12,68
2019-05-19,49
2019-05-26,55
2019-06-02,45
2019-06-09,40
2019-06-16,60
2019-06-23,100
2019-06-30,61
2019-07-07,60
2019-07-14,59
2019-07-21,48
2019-07-28,46
2019-08-04,57
2019-08-11,47
2019-08-18,43
2019-08-25,40
2019-09-01,41
2019-09-08,35
2019-09-15,34
2019-09-22,45
2019-09-29,37
2019-10-06,35
2019-10-13,32
2019-10-20,39
2019-10-27,40
2019-11-03,33
2019-11-10,31
2019-11-17,37
2019-11-24,39
2019-12-01,30
2019-12-08,30
2019-12-15,33
2019-12-22,30
2019-12-29,32
2020-01-05,26
2020-01-12,26
2020-01-19,23
2020-01-26,25
2020-02-02,26
2020-02-09,30
2020-02-16,26
2020-02-23,27
2020-03-01,25
2020-03-08,46
2020-03-15,49
2020-03-22,35
2020-03-29,30
2020-04-05,31
2020-04-12,29
2020-04-19,30
2020-04-26,37
2020-05-03,43
2020-05-10,50
2020-05-17,33
2020-05-24,31
2020-05-31,31
2020-06-07,28
2020-06-14,25
2020-06-21,25
2020-06-28,23
2020-07-05,23
2020-07-12,27
2020-07-19,25
2020-07-26,39
2020-08-02,35
2020-08-09,32
2020-08-16,31
2020-08-23,28
2020-08-30,29
2020-09-06,26
2020-09-13,24
2020-09-20,22
2020-09-27,21
2020-10-04,21
2020-10-11,22
2020-10-18,31
2020-10-25,35
2020-11-01,36
2020-11-08,37
2020-11-15,52
2020-11-22,59
2020-11-29,50
2020-12-06,41
2020-12-13,67
2020-12-20,66
2020-12-27,100
2021-01-03,83
2021-01-10,81
2021-01-17,51
2021-01-24,49
2021-01-31,43
2021-02-07,80
2021-02-14,72
2021-02-21,83
2021-02-28,53
2021-03-07,53
2021-03-14,51
2021-03-21,46
2021-03-28,43
2021-04-04,40
2021-04-11,50
2021-04-18,66
2021-04-25,50
2021-05-02,42
2021-05-09,57
2021-05-16,100
2021-05-23,70
2021-05-30,50
2021-06-06,51
2021-06-13,40
2021-06-20,48
2021-06-27,36
2021-07-04,29
2021-07-11,28
2021-07-18,34
2021-07-25,39
2021-08-01,31
2021-08-08,36
2021-08-15,31
2021-08-22,32
2021-08-29,28
2021-09-05,37
2021-09-12,27
2021-09-19,35
2021-09-26,27
2021-10-03,32
2021-10-10,36
2021-10-17,45
2021-10-24,36
2021-10-31,30
2021-11-07,35
2021-11-14,35
2021-11-21,35
2021-11-28,36
2021-12-05,39
2021-12-12,34
2021-12-19,32
2021-12-26,30
2022-01-02,60
2022-01-09,54
2022-01-16,61
2022-01-23,77
2022-01-30,58
2022-02-06,56
2022-02-13,46
2022-02-20,62
2022-02-27,55
2022-03-06,48
2022-03-13,42
2022-03-20,40
2022-03-27,44
2022-04-03,39
2022-04-10,36
2022-04-17,34
2022-04-24,35
2022-05-01,35
2022-05-08,84
2022-05-15,54
2022-05-22,45
2022-05-29,40
2022-06-05,38
2022-06-12,100
2022-06-19,76
2022-06-26,55
2022-07-03,50
2022-07-10,45
2022-07-17,47
2022-07-24,37
2022-07-31,38
2022-08-07,35
2022-08-14,34
2022-08-21,33
2022-08-28,33
2022-09-04,32
2022-09-11,28
